id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
7057,（大）麦ご飯２７０ｇ（(Large size)Barley rice （boiled barley and rice））,132,436,7.5,0.2,96.3,0.0,0.0,0.0,5.6
7060,（ミニ）麦ご飯１００ｇ（(Mini size)Barley rice （boiled barley and rice））,55,164,2.8,0.1,36.2,0.0,0.0,0.0,2.1
7058,（特大）麦ご飯３４０ｇ（(Extra Large size)Barley rice （boiled barley and rice））,165,551,9.5,0.2,121.7,0.0,0.0,0.0,7.1
8090,豆腐とわかめの味噌汁（Miso soup）,33,24,1.3,0.5,3.2,1.7,0.0,0.0,0.3
8097,豚汁（Miso soup with pork and vegetables）,88,72,4.3,2.6,7.2,1.4,0.4,0.3,0.2
8101,さっぱり豚汁（Lightly-flavored Pork and Vegetable Soup ）,88,67,4.0,2.3,7.7,1.8,0.5,0.3,0.1
9096,生チョコケーキ（Chocolate cake topped with chocolate-flavored whipped cream and cocoa powder）,132,98,1.5,5.9,9.6,0.0,0.7,0.0,0.4
9097,ミルクティーショート（Tea flavored cake topped with tea flavored whipped cream）,132,93,1.3,5.7,8.9,0.0,0.8,0.0,0.4
9098,抹茶きなこケーキ（Kinako (soybean-flour) cake topped with green tea flavored whipped cream）,132,134,2.0,8.8,11.9,0.1,0.9,0.0,0.5
9128,フルーツミックスヨーグルト（ yogurt with pieces of fruit）,88,49,1.2,1.2,8.8,0.0,0.3,0.1,0.2
9129,今川焼き（Imagawayaki pancake filled with red bean paste）,88,188,4.2,2.9,36.3,0.5,0.0,0.0,2.3
