id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
5184,ゆずもずく（Vinegared seaweed with a hint of yuzu citrus）,88,21,0.4,0.0,5.0,1.3,0.0,0.1,0.2
5166,ほうれん草ひじき和え（Spinach with hijiki seaweed）,88,50,4.0,1.5,4.5,0.5,0.4,0.1,0.1
5137,薩摩ハーブ鶏のレバー煮（Stewed liver of Satsuma herb chicken）,88,81,9.4,1.3,8.1,1.3,0.6,0.0,0.4
5167,鶏そぼろれんこん（Lotus root with minced chicken meat）,88,55,2.0,2.0,7.7,0.7,0.1,0.2,0.3
5168,モロヘイヤとオクラのお浸し（Boiled jute mallow and okra in bonito-flavored sauce）,88,26,1.3,0.0,5.0,0.3,0.0,0.3,0.0
5173,とろろ（Grated yam）,88,38,1.1,0.0,8.5,0.4,0.0,0.4,0.0
5180,ハッシュブラウン（Hashed potatoes）,88,123,1.2,6.4,14.8,0.7,0.0,0.5,1.0
5154,いももち（Imomochi (Dumpling made of potato)）,88,198,0.8,10.7,24.3,0.5,0.1,0.2,1.5
5171,きんぴらごぼう（Sauteed burdock kimpira style）,66,40,0.8,0.8,7.6,0.8,0.0,0.3,0.3
5172,ひじき煮（Boiled hijiki （edible seaweed））,66,52,1.6,2.8,5.2,0.8,0.4,0.1,0.3
5185,１５品目のヘルシーサラダ（15items of healthy salad）,66,80,1.5,5.9,5.5,0.5,0.1,0.3,0.6
5083,半熟卵（Soft boiled egg）,66,83,6.8,5.7,0.2,0.2,1.0,0.0,0.0
5118,オクラのお浸し（Ohitashi(boiled)chopped okra）,66,18,1.2,0.0,4.6,0.3,0.0,0.2,0.0
5073,ほうれん草ゴマあえ（Boiled spinach with sesame paste）,66,28,2.1,1.0,3.3,0.5,0.0,0.1,0.2
5119,冷奴（Cold tofu）,66,53,5.3,3.5,2.0,0.0,0.7,0.0,0.0
5186,揚げ餃子（Fried dumplings）,66,84,2.6,4.3,8.6,0.4,0.1,0.0,1.0
5175,切干大根（Soy sauce taste boiled dried daikon radish strips）,66,24,1.2,0.8,3.2,0.4,0.2,0.1,0.1
5152,おからの彩りサラダ（Colorful soy pulp salad）,66,95,4.0,5.5,7.5,1.0,0.4,0.3,0.3
5082,煮卵（Boiled egg）,66,76,6.6,4.8,1.7,0.6,0.5,0.0,0.5
5078,かぼちゃ煮（Simmered pumpkin）,66,61,1.1,0.0,14.3,0.6,0.0,0.3,0.3
5153,パンプキンサラダ（Pumpkin salad）,66,100,1.5,7.0,8.0,0.5,0.0,0.2,0.8
5138,竹輪の磯辺揚げ（Fried Chikuwa (fish sausage) with laver）,66,102,5.4,6.2,5.9,0.9,0.2,0.0,1.1
5135,レンコンきんぴら（Lotus root sauteed in sugar and soy sauce）,66,48,0.8,1.2,9.2,0.8,0.0,0.3,0.3
5117,ほうれん草のおひたし（Boiled spinach with dried bonito）,66,12,1.9,0.0,1.5,0.0,0.0,0.1,0.0
5159,野菜生活１００（Mixed juice of vegetables and the fruit）,66,33,0.4,0.0,8.1,0.2,0.0,0.4,0.0
6028,ごろっと野菜のツナマヨサラダ（Vegetable salad with tuna mayonnaise）,198,203,8.1,12.5,15.4,0.8,0.7,0.8,1.1
6027,豚しゃぶ胡麻だれ（Pork shabu-shabu and vegetable salad with sesame dressing）,198,226,15.7,14.9,7.7,1.1,2.0,0.3,0.5
6026,胡麻風味の豚しゃぶサラダ（Pork shabu-shabu salad with sesame dressing）,198,245,13.7,17.0,8.7,1.4,1.8,0.4,0.9
6025,鶏とゴロッと野菜のサラダ（Steamed vegetables and chicken salad）,198,166,10.8,3.1,24.3,1.7,0.7,0.6,0.6
6020,ポテト＆コーンサラダ（Potato and corn salad）,88,74,1.6,3.8,9.3,0.6,0.0,0.7,0.3
10295,（大）秋鮭丼（(Large size)Flaked Salmon topped with soft boiled egg bowl）,594,809,33.9,16.2,123.1,3.9,2.0,0.1,8.0
10294,（中）秋鮭丼（(Medium size)Flaked Salmon topped with soft boiled egg bowl）,506,638,26.8,13.2,95.9,2.8,1.7,0.1,6.1
10293,（小）秋鮭丼（(Small size)Flaked Salmon topped with soft boiled egg bowl）,440,480,20.9,10.9,69.0,2.1,1.5,0.0,4.4
10291,（大）唐揚げ親子丼（(Large size)Deep-fried chicken cooked with beaten egg bowl）,539,1043,33.6,27.5,155.6,4.4,3.2,0.0,9.8
